epoch 0, I/O 0
epoch 573, I/O 41492480
epoch 574, I/O 66883584
epoch 575, I/O 48865280
epoch 576, I/O 37556224
epoch 577, I/O 20054016
epoch 578, I/O 32423936
epoch 579, I/O 46383104
epoch 580, I/O 47022080
epoch 581, I/O 32133120
epoch 582, I/O 56107008
epoch 583, I/O 49836032
epoch 584, I/O 37056512
epoch 585, I/O 39895040
epoch 586, I/O 56999936
epoch 587, I/O 57233408
epoch 588, I/O 36884480
epoch 589, I/O 48062464
epoch 590, I/O 43667456
epoch 591, I/O 51589120
epoch 592, I/O 30433280
epoch 593, I/O 32555008
epoch 594, I/O 67481600
epoch 595, I/O 16719872
epoch 596, I/O 49528832
epoch 597, I/O 52371456
epoch 598, I/O 32452608
epoch 599, I/O 33509376
epoch 600, I/O 53719040
epoch 601, I/O 58306560
epoch 602, I/O 102182912
epoch 603, I/O 42246144
epoch 604, I/O 30711808
epoch 605, I/O 72720384
epoch 606, I/O 37101568
epoch 607, I/O 64110592
epoch 608, I/O 29995008
epoch 609, I/O 39591936
epoch 610, I/O 35127296
epoch 611, I/O 38760448
epoch 612, I/O 84602880
epoch 613, I/O 32858112
epoch 614, I/O 55562240
epoch 615, I/O 47292416
epoch 616, I/O 59183104
epoch 617, I/O 27328512
epoch 618, I/O 50262016
epoch 619, I/O 71737344
epoch 620, I/O 41271296
epoch 621, I/O 57585664
epoch 622, I/O 36388864
epoch 623, I/O 52789248
epoch 624, I/O 33546240
epoch 625, I/O 32419840
epoch 626, I/O 80367616
epoch 627, I/O 35508224
epoch 628, I/O 49946624
epoch 629, I/O 24166400
epoch 630, I/O 41115648
epoch 631, I/O 99753984
epoch 632, I/O 34234368
epoch 633, I/O 54595584
epoch 634, I/O 38248448
epoch 635, I/O 38846464
epoch 636, I/O 87982080
epoch 637, I/O 37142528
epoch 638, I/O 53518336
